"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"341";5126;"SP";3419071;"HORTOLANDIA";41
"342";5127;"SP";3419105;"IACANGA";41
"343";5128;"SP";3419204;"IACRI";41
"344";5129;"SP";3419253;"IARAS";41
"345";5130;"SP";3419303;"IBATE";41
"346";5131;"SP";3419402;"IBIRA";41
"347";5132;"SP";3419501;"IBIRAREMA";41
"348";5133;"SP";3419600;"IBITINGA";41
"349";5134;"SP";3419709;"IBIUNA";41
"350";5135;"SP";3419808;"ICEM";41
"351";5136;"SP";3419907;"IEPE";41
"352";5137;"SP";3420004;"IGARACU DO TIETE";41
"353";5138;"SP";3432306;"NATIVIDADE DA SERRA";41
"354";5139;"SP";3439509;"PITANGUEIRAS";41
"355";5140;"SP";3432405;"NAZARE PAULISTA";41
"356";5141;"SP";3432504;"NEVES PAULISTA";41
"357";5142;"SP";3432603;"NHANDEARA";41
"358";5143;"SP";3432702;"NIPOA";41
"359";5144;"SP";3432801;"NOVA ALIANCA";41
"360";5145;"SP";3432827;"NOVA CAMPINA";41
"361";5146;"SP";3440200;"PONTAL";41
"362";5147;"SP";3440259;"PONTALINDA";41
"363";5148;"SP";3440309;"PONTES GESTAL";41
"364";5149;"SP";3403158;"ARAPEI";41
"365";5150;"SP";3403208;"ARARAQUARA";41
"366";5151;"SP";3403307;"ARARAS";41
"367";5152;"SP";3450605;"SAO ROQUE";41
"368";5153;"SP";3450704;"SAO SEBASTIAO";41
"369";5154;"SP";3450803;"SAO SEBASTIAO DA GRAMA";41
"370";5155;"SP";3450902;"SAO SIMAO";41
"371";5156;"SP";3447205;"SANTANA DA PONTE PENSA";41
"372";5157;"SP";3447304;"SANTANA DE PARNAIBA";41
"373";5158;"SP";3400402;"AGUAS DA PRATA";41
"374";5159;"SP";3400501;"AGUAS DE LINDOIA";41
"375";5160;"SP";3400550;"AGUAS DE SANTA BARBARA";41
"376";5161;"SP";3400600;"AGUAS DE SAO PEDRO";41
"377";5162;"SP";3400709;"AGUDOS";41
"378";5163;"SP";3400758;"ALAMBARI";41
"379";5164;"SP";3400808;"ALFREDO MARCONDES";41
"380";5165;"SP";3400907;"ALTAIR";41
"381";5166;"SP";3401004;"ALTINOPOLIS";41
