Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2021;01;"Jaguariúna - SP";92891542;2767596
2021;01;"Monte Mor - SP";8385696;1415331
2021;01;"Morungaba - SP";294434;199205
2021;01;"Nova Odessa - SP";8862155;2403710
2021;01;"Paulínia - SP";250379634;64502559
2021;01;"Pedreira - SP";441501;120462
2021;01;"Santa Bárbara d'Oeste - SP";9722553;1066819
2021;01;"Santo Antônio de Posse - SP";11319363;766672
2021;01;"Sumaré - SP";107045053;35982121
2021;01;"Valinhos - SP";43970124;6970793
2021;01;"Vinhedo - SP";58853229;10919744
2020;12;"Artur Nogueira - SP";6316627;1349117
2020;12;"Campinas - SP";209875507;23261008
2020;12;"Cosmópolis - SP";5455044;255617
2020;12;"Engenheiro Coelho - SP";608989;118258
2020;12;"Holambra - SP";3756413;303273
2020;12;"Hortolândia - SP";79129537;3287602
2020;12;"Indaiatuba - SP";103700640;25681881
2020;12;"Itatiba - SP";27591467;7127295
2020;12;"Jaguariúna - SP";76405591;2787372
2020;12;"Monte Mor - SP";12043366;2088634
2020;12;"Morungaba - SP";453370;247662
2020;12;"Nova Odessa - SP";7711341;2234454
2020;12;"Paulínia - SP";203081136;62729389
2020;12;"Pedreira - SP";580268;335917
2020;12;"Santa Bárbara d'Oeste - SP";16009162;1560985
2020;12;"Santo Antônio de Posse - SP";12201264;753812
2020;12;"Sumaré - SP";126168042;31285835
2020;12;"Valinhos - SP";37886376;5194056
2020;12;"Vinhedo - SP";55034734;9564614
2020;11;"Artur Nogueira - SP";2994707;782583
2020;11;"Campinas - SP";221041213;24783210
2020;11;"Cosmópolis - SP";6926211;239567
2020;11;"Engenheiro Coelho - SP";224403;112942
2020;11;"Holambra - SP";5600470;332956
2020;11;"Hortolândia - SP";109324003;3522735
2020;11;"Indaiatuba - SP";104826342;27935254
2020;11;"Itatiba - SP";25242622;6228924
2020;11;"Jaguariúna - SP";85118367;3281539
2020;11;"Monte Mor - SP";11262173;2288116
2020;11;"Morungaba - SP";804284;638935
2020;11;"Nova Odessa - SP";7538757;2513957
2020;11;"Paulínia - SP";286158290;60427124
2020;11;"Pedreira - SP";413897;83680
